Feature,ANOVA F-value,ANOVA p-value,Mutual Information
IDH3B,98.72022598526479,3.276440789155617e-27,0.4279400036892449
GORASP2,98.60987884739066,3.427323986862042e-27,0.46075853916318765
NINJ1,98.39684643873906,3.738865636387822e-27,0.5421910295184
SSC5D,98.2175781855757,4.023216878061706e-27,0.46756364784083115
LIMS2,98.1521666531652,4.132353414750546e-27,0.4572564610473264
OLFM4,98.11757638317683,4.1912754205022775e-27,0.4837005778768966
PEX11B,96.84423421923036,7.072782309533942e-27,0.505366993492445
VTI1B,96.10171757155815,9.614206671505796e-27,0.3752144016938004
HBG2,95.5052503048754,1.231544963289044e-26,0.45966290988125635
IGLV3-19,95.3610182288964,1.3077138033622065e-26,0.4399530202154147
YTHDF2,94.63571891552559,1.7697933824922344e-26,0.5369395276728928
DNAJC9,93.9457010266347,2.3631171085787297e-26,0.473966012419339
NUCB2,93.5860159794769,2.7488401404267645e-26,0.5134645991398508
PRELP,92.97255396630554,3.56025671303149e-26,0.42185037336000075
STAT1,92.5896446435624,4.186138008808577e-26,0.4196054378942986
SDSL,91.54033558998292,6.537504175913718e-26,0.4471997137935537
NCF1,91.44453865360194,6.810045034409594e-26,0.5351290806807041
RAB11A,91.13985719648976,7.755976975421129e-26,0.44229750815324187
ATP6V1F,91.086108256131,7.936198756799041e-26,0.473599290771505
SEC24A,90.41920095847706,1.0560255106499816e-25,0.4876877223177747
PON2,89.66972384798126,1.457878024991727e-25,0.4710992418806488
AIDA,89.18154771189838,1.8001136673791836e-25,0.39524539925690116
HMOX1,88.69499150889452,2.2225842396243607e-25,0.4247594035884028
TRAM1,87.47654669848454,3.77914731582353e-25,0.5297677409005075
CDV3,87.37019900516928,3.9591409908500935e-25,0.39297965059845863
TAP1,87.01444322751507,4.6269931886407655e-25,0.5140321502155352
ITGB2,86.50863481835431,5.778547735044125e-25,0.4757835647678783
CASP14,86.24252119153029,6.497199683283324e-25,0.4633883556082232
CD3D,85.90881929708414,7.528138842441757e-25,0.5002743117310491
NEXN,85.6844208471228,8.313360526554042e-25,0.43894827871007025
ADAM10,85.37449639169677,9.536563016507434e-25,0.41099551778492693
CIAPIN1,85.07602849005943,1.0887230349343316e-24,0.49627245660010844
CEACAM5,84.5457677703671,1.3784625591418128e-24,0.48066075162468724
DERL3,84.09966523982688,1.6822266396677525e-24,0.43779491362468215
SERPINB3,83.71612898394197,1.9973162980379645e-24,0.4629531851747206
SELENOF,83.11754120070768,2.6133303661491536e-24,0.46811951804532903
AHNAK2,82.4932983756895,3.462893470809846e-24,0.38379726844721307
RNF213,81.52626872690583,5.368047260173799e-24,0.527598922988676
PARP14,80.59822011063744,8.197487283414876e-24,0.5107884803431577
VKORC1L1,80.02757138194377,1.0648987481283742e-23,0.4345872256607983
PDLIM4,79.36211307102768,1.4466681434890968e-23,0.38535914382621606
OGFR,78.86406001773645,1.8211680581281155e-23,0.4324275971077418
CD209,78.68643845880577,1.977372585066027e-23,0.4222188573316834
STT3A,78.5768683041013,2.0804450290490588e-23,0.5094819399215558
ATP6V1C1,78.47741169435139,2.1787197604153477e-23,0.4595005350720711
IGHA1,78.36624839523388,2.2941512955832023e-23,0.42071290916731896
